Bölüm,Kategori,Seri,Model,Kaynak Dosya,Özellikler
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,ENT-KT-5-C10,ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 2,8 | Çalışma Gücü 400-440V 50Hz (kVAr): 5 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 0 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 150.000"
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,"ENT-KT-7,5-C11",ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 4,0 | Çalışma Gücü 400-440V 50Hz (kVAr): 7,5 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 1 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 200.000"
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,ENT-KT-12-C11,ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 6,7 | Çalışma Gücü 400-440V 50Hz (kVAr): 12,5 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 1 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 200.000"
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,ENT-KT-16-C11,ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 8,5 | Çalışma Gücü 400-440V 50Hz (kVAr): 16,7 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 1 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 200.000"
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,ENT-KT-20-C11,ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 10,0 | Çalışma Gücü 400-440V 50Hz (kVAr): 20,0 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 1 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 100.000"
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,ENT-KT-25-C11,ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 15,0 | Çalışma Gücü 400-440V 50Hz (kVAr): 25,0 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 1 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 100.000"
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,ENT-KT-33-C12,ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 20,0 | Çalışma Gücü 400-440V 50Hz (kVAr): 33,3 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 2 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 100.000"
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,ENT-KT-40-C12,ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 25,0 | Çalışma Gücü 400-440V 50Hz (kVAr): 40,0 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 2 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 100.000"
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,ENT-KT-50-C12,ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 30,0 | Çalışma Gücü 400-440V 50Hz (kVAr): 50,0 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 2 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 100.000"
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,ENT-KT-60-C12,ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 40,0 | Çalışma Gücü 400-440V 50Hz (kVAr): 60,0 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 2 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 100.000"
